k_value,run,final_fitness
5,0,2.4126535384240593
5,1,2.429537028622791
5,2,2.654103344835895
5,3,2.744581228142777
5,4,2.484481513165217
5,5,2.788907880231773
5,6,2.5958275730566216
5,7,2.7903001003921446
5,8,2.293767621028137
5,9,2.9784293927806442
7,0,2.5520869110921054
7,1,2.7661385014547326
7,2,3.0174212882414326
7,3,2.592288690981929
7,4,2.8596139112337724
7,5,2.8847650234582973
7,6,3.001614823327018
7,7,2.813819141644101
7,8,2.8708276755718236
7,9,2.944147012955297
9,0,2.9909569978688353
9,1,2.5387272564405134
9,2,3.589883393480753
9,3,3.063200517694921
9,4,3.0384923108996604
9,5,2.593504539173055
9,6,3.77729794136146
9,7,2.9395678592232795
9,8,3.328151670913364
9,9,2.8179076288717235
11,0,3.6591337108421484
11,1,3.0727200636107677
11,2,3.200698096890455
11,3,2.553277640858981
11,4,2.974169309969071
11,5,2.490276196886583
11,6,2.75762182774022
11,7,2.8683596907294513
11,8,2.599993780606612
11,9,2.8176585876053353
13,0,2.864294617995076
13,1,3.3994418415167758
13,2,3.350961950635233
13,3,3.1339503908621436
13,4,2.773143631352527
13,5,2.7942612846324963
13,6,2.8908568462398154
13,7,3.229934470825184
13,8,2.8431862250030817
13,9,3.5609560404674148
15,0,2.849981219130599
15,1,3.368358939867714
15,2,3.0138836543749004
15,3,3.047381726599241
15,4,3.23791884379407
15,5,3.2606384449394796
15,6,2.622563609455233
15,7,3.645483620991201
15,8,3.0988939556930966
15,9,2.9109544855658465
17,0,3.291798993157253
17,1,3.038651828807342
17,2,4.1371519240080366
17,3,3.104308654645479
17,4,3.6046011217465206
17,5,2.9609710269306233
17,6,3.357427353221239
17,7,3.049777981580763
17,8,3.23843440109093
17,9,3.074538381235429
19,0,3.6446576235068493
19,1,3.5834428273968983
19,2,3.475273758209396
19,3,3.0378218169552937
19,4,3.1470909884542637
19,5,3.6943631697146166
19,6,3.2882186208975073
19,7,3.5302987625812827
19,8,3.742773074664467
19,9,4.020009908584791
